Image,Image name index,Boundary Label,Quality
1,1,0,0
2,2,0,0
3,3,0,1
4,4,0,0
5,5,1,0
6,6,2,2
7,7,0,1
8,8,0,2
9,9,1,1
10,10,0,1
11,11,0,2
12,12,2,2
13,13,0,2
14,14,1,0
15,15,0,2
16,16,2,1
17,17,0,1
18,18,0,0
19,19,0,2
20,20,0,0
21,21,0,0
22,22,0,0
23,23,0,0
24,24,2,1
25,25,0,1
26,26,0,2
27,27,0,0
28,28,0,0
29,29,2,0
30,30,0,0
31,31,0,1
32,32,2,2
33,33,0,2
34,34,2,1
35,35,0,2
36,36,0,1
37,37,2,1
38,38,0,2
39,39,0,0
40,40,0,1
41,41,1,0
42,42,0,0
43,43,0,0
44,44,0,0
45,45,0,1
46,46,0,0
47,47,2,0
48,48,0,1
49,49,0,1
50,50,2,2
51,51,0,2
52,52,0,2
53,53,0,1
54,54,0,0
55,55,2,0
56,56,0,2
57,57,2,1
58,58,0,0
59,59,0,0
60,60,0,1
61,61,0,0
62,62,0,0
63,63,0,0
64,64,0,0
65,65,0,0
66,66,0,0
67,67,0,2
68,68,0,1
69,69,2,1
70,70,0,2
71,71,0,1
72,72,1,0
73,74,0,0
74,75,0,0
75,76,0,0
76,77,0,0
77,78,0,1
78,79,0,2
79,80,0,2
80,81,1,2
81,82,0,0
82,83,0,0
83,84,0,1
84,85,0,1
85,86,0,2
86,87,2,1
87,88,1,0
88,90,0,0
89,91,0,0
90,92,0,0
91,93,0,0
92,94,0,0
93,95,0,0
94,96,0,0
95,97,0,0
96,98,0,0
97,99,0,1
98,100,0,0
99,101,0,0
100,102,0,0
101,103,2,0
102,104,0,2
103,105,2,1
104,106,0,0
105,107,0,2
106,108,2,0
107,109,0,0
108,110,0,1
109,111,0,1
110,112,0,2
111,113,0,2
112,114,0,2
113,115,0,2
114,116,0,1
115,117,0,1
116,118,0,1
117,119,0,1
118,120,0,2
119,121,0,2
120,122,0,0
121,123,2,1
122,124,0,0
123,125,0,1
124,126,0,0
125,127,0,0
126,128,0,1
127,129,0,1
128,130,0,1
129,131,1,2
130,132,0,1
131,133,0,1
132,134,0,0
133,135,0,0
134,136,0,1
135,137,2,0
136,138,0,0
137,139,0,0
138,140,0,1
139,141,0,1
140,142,0,1
141,143,0,1
142,144,0,0
143,145,0,2
144,146,0,2
145,147,2,1
146,148,0,1
147,149,0,1
148,150,0,0
149,151,1,1
150,152,0,1
151,153,1,2
152,154,0,2
153,155,0,0
154,156,0,0
155,157,0,0
156,158,0,1
157,159,0,0
158,160,0,1
159,161,1,2
160,162,2,0
161,163,0,1
162,164,1,2
163,165,0,0
164,166,0,0
165,167,1,2
166,168,0,0
167,169,0,1
168,170,0,0
169,171,0,0
170,172,0,0
171,173,0,0
172,174,0,0
173,175,0,0
174,176,0,1
175,177,0,0
176,178,1,0
177,179,0,1
178,180,0,0
179,181,0,0
180,182,0,0
181,183,0,0
182,184,0,0
183,185,0,0
184,186,1,1
185,187,0,0
186,188,0,0
187,189,0,1
188,190,0,0
189,191,0,0
190,192,0,0
191,193,2,0
192,194,0,1
193,195,0,1
194,196,1,0
195,197,0,1
196,198,0,2
197,199,0,2
198,200,0,2
199,201,0,0
200,202,2,2
201,203,0,2
202,204,0,1
203,205,0,0
204,206,2,0
205,207,2,2
206,208,0,1
207,209,0,2
208,210,0,0
209,211,0,2
210,212,0,2
211,213,0,0
212,214,2,2
213,215,0,0
214,216,0,0
215,217,0,0
216,218,1,1
217,219,0,0
218,220,0,2
219,221,0,2
220,222,0,2
221,223,0,2
222,224,0,2
223,225,2,1
224,226,0,1
225,227,2,1
226,228,0,1
227,229,0,2
228,230,0,0
229,231,0,2
230,232,0,0
231,233,1,1
232,234,0,2
233,235,0,2
234,236,0,2
235,237,0,2
236,238,0,0
237,239,0,2
238,240,0,0
239,241,1,1
240,242,0,0
241,243,0,0
242,244,0,0
243,245,0,2
244,246,2,2
245,247,0,0
246,248,2,2
247,249,0,2
248,250,2,2
249,251,0,1
250,252,0,2
251,253,2,0
252,254,0,1
253,255,0,1
254,256,0,1
255,257,0,0
256,258,0,0
257,259,0,1
258,260,0,1
259,261,2,0
260,262,0,1
261,263,0,1
262,264,2,0
263,265,0,0
264,266,1,1
265,267,0,0
266,268,0,0
267,269,0,1
268,270,0,2
269,271,0,1
270,272,2,2
271,273,0,1
272,274,0,0
273,275,2,2
